6|24/09/2013|Levante|Valladolid|1|6|4|6|4|2|1|0|0|73|73|73|73|73|73|73|72
6|24/09/2013|Barcelona|Real Sociedad|0|15|6|15|6|6|2|0|0|84|85|86|83|77|78|75|77
6|24/09/2013|Atlético de Madrid|Osasuna|0|15|3|15|3|6|0|0|0|80|81|80|80|72|71|72|72
6|24/09/2013|Málaga|Almería|0|5|3|5|3|3|1|0|1|75|75|70|76|71|71|71|70
6|25/09/2013|Granada|Valencia|2|5|6|5|6|0|0|0|0|72|73|72|70|78|79|77|78
6|25/09/2013|Sevilla|Rayo Vallecano|0|2|3|2|3|1|0|0|0|76|75|76|74|73|73|72|73
6|25/09/2013|Elche|Real Madrid|2|3|13|3|13|2|4|1|0|73|74|72|72|84|85|83|82
6|26/09/2013|Athletic Club|Betis|0|9|5|9|5|6|1|0|0|76|78|77|75|74|75|75|74
6|26/09/2013|Villarreal|Espanyol|0|11|11|11|11|4|4|1|0|73|72|74|71|73|73|72|73
6|26/09/2013|Getafe|Celta de Vigo|0|4|6|4|6|4|3|0|0|74|74|74|73|72|74|71|68
7|27/09/2013|Valladolid|Málaga|1|5|8|5|8|3|2|0|0|73|73|73|72|75|75|70|76
7|28/09/2013|Valencia|Rayo Vallecano|0|9|3|9|3|6|0|0|0|78|79|77|78|73|73|72|73
7|28/09/2013|Almería|Barcelona|2|3|18|3|18|2|9|1|0|71|71|71|70|84|85|86|83
7|28/09/2013|Real Sociedad|Sevilla|1|6|5|6|5|4|1|0|0|77|78|75|77|76|75|76|74
7|28/09/2013|Real Madrid|Atlético de Madrid|2|16|18|16|18|9|9|0|0|84|85|83|82|80|81|80|80
7|29/09/2013|Osasuna|Levante|2|3|7|3|7|3|4|0|0|72|71|72|72|73|73|73|73
7|29/09/2013|Celta de Vigo|Elche|2|6|3|6|3|3|1|0|1|72|74|71|68|73|74|72|72
7|29/09/2013|Espanyol|Getafe|2|11|7|11|7|7|0|0|0|73|73|72|73|74|74|74|73
7|29/09/2013|Betis|Villarreal|0|5|14|5|14|4|7|0|1|74|75|75|74|73|72|74|71
7|30/09/2013|Granada|Athletic Club|0|5|12|5|12|0|3|0|0|72|73|72|70|76|78|77|75
8|04/10/2013|Villarreal|Granada|0|14|8|11|5|7|5|1|0|73|72|74|71|72|73|72|70
8|04/10/2013|Málaga|Osasuna|2|9|3|9|3|6|0|0|0|75|75|70|76|72|71|72|72
8|05/10/2013|Elche|Espanyol|0|6|11|6|10|2|4|1|0|73|74|72|72|73|73|72|73
8|05/10/2013|Rayo Vallecano|Real Sociedad|0|3|7|0|4|3|2|0|0|73|73|72|73|77|78|75|77
8|05/10/2013|Levante|Real Madrid|2|10|16|10|13|3|7|0|0|73|73|73|73|84|85|83|82
